UIN,INCIDENT_MONTH,INCIDENT_YEAR,VICTIM_INJURY,STATE,LOCATION,LATITUDE,LONGITUDE,SITE_CATEGORY,SITE_CATEGORY_COMMENT,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,SHARK_IDENTIFICATION_METHOD,SHARK_IDENTIFICATION_SOURCE,SHARK_LENGTH_M,BASIS_FOR_LENGTH,PROVOKED_UNPROVOKED,PROVOCATIVE_ACT,NO_SHARKS,VICTIM_ACTIVITY,FISH_SPEARED,COMMERCIAL_DIVE_ACTIVITY,OBJECT_OF_BITE,PRESENT_AT_TIME_OF_BITE,DIRECTION_FIRST_STRIKE,SHARK_BEHAVIOUR,VICTIM_AWARE_OF_SHARK,SHARK_CAPTURED,INJURY_LOCATION,INJURY_SEVERITY,VICTIM_GENDER,VICTIM_AGE,VICTIM_CLOTHING,CLOTHING_COVERAGE,DOMINANT_CLOTHING_COLOUR,OTHER_CLOTHING_COLOUR,CLOTHING_PATTERN,FIN_COLOUR,DIVERSIONARY_ACTION_TAKEN,DIVERSIONARY_ACTION_OUTCOME,PEOPLE_LESS_THAN_3M,PEOPLE_3_TO_15M,TIME_OF_INCIDENT,DEPTH_OF_INCIDENT_M,TEETH_RECOVERED,TIME_IN_WATER_MIN,WATER_TEMPERATURE_C,TOTAL_WATER_DEPTH_M,WATER_VISIBILITY_M,DISTANCE_TO_SHORE_M,TIDAL_CYCLE,WIND_CONDITION,WEATHER_CONDITION,AIR_TEMPERATURE_C,PERSONAL_PROTECTIVE_DEVICE,DETERRENT_BRAND_TYPE,DATA_SOURCE,REFERENCE,
1,January,1791,Fatal,NSW,near sydney,-33.86666667,151.2,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,,,torso,major lacerations,Female,,,,,,,,,,,,,0,,,,,,,,,,,,,book,"shark&survl, whitley 1958, book ref 1793",
2,March,1803,Injured,WA,"hamelin bay, faure island",-25.83333333,113.8833333,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,swam at victim,Y,,,,Male,,,,,,,,pushed at shark,,,,,0,,1,,,,,,,,,,,book,"balgridge,green,taylor,whitley 1940",
3,January,1807,Injured,NSW,"cockle bay, sydney harbour",-33.86666667,151.2,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour",,,,unprovoked,,1,swimming,,,,,,bit victim on wrist,,,"arm, hand",minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,sydney gazette 18.1.1807,
4,January,1820,Fatal,TAS,"sweetwater point, pitt water",-42.8,147.5333333,coastal,,,,,,,,provoked,,1,swimming,,,,catch,,bit victim on leg,N,,leg,major lacerations,Male,,,,,,,,,,,,,1,,,,,,100,,,,,,,witness account,"shark&survl, c. black researcher",
5,January,1825,Injured,NSW,"kirribili point, sydney harbour",-33.85,151.2166667,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit legs,,,leg,minor lacerations,Male,15,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,maitland daily mercury 13.11.1899,
6,January,1830,Injured,TAS,bruny island,-43.28333333,147.3333333,island open ocean,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on arms,,,arm,major lacerations,Female,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the mercury 7.3.1923,
7,January,1832,Injured,NSW,"blackwattle bay, glebe, sydney harbour",-33.86666667,151.1833333,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,provoked,,,swimming,,,,abbatoir,,bit victim on leg,,,leg,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,smh 23.1.1832,
8,June,1832,Injured,NSW,"south head, sydney harbour",-33.83333333,151.2666667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,provoked,enticed shark,1,fishing,,,,,,bit victim on leg,,,leg,major lacerations,Female,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,sydney herald 11.6.1832,
9,January,1836,Injured,SA,holdfast bay,-34.95,138.5,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,N,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,sharpe     date?,
10,August,1836,Fatal,QLD,fraser island,-25.48333333,152.9833333,coastal,,Whaler Shark,Carcharhinidae,geoghraphical location,,,,unprovoked,,1,swimming,,,,,,bit victim on body,,,other: body not recovered,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,"shipwrecks, evan mchugh",
11,August,1836,Fatal,QLD,fraser island,-25.48333333,152.9833333,coastal,,Whaler Shark,Carcharhinidae,geoghraphical location,,,,unprovoked,,1,swimming,,,,,,bit victim on body,,,other: body not recovered,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,"shipwrecks, evan mchugh",
12,January,1837,Fatal,NSW,macleay river,-30.93333333,153.0166667,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,,,leg,major lacerations,Male,12,,,,,,,,,,,,1,,,,,,1,,,,,,,media outlet,"green,baldridge, colonial times 14.2.1837",
13,August,1839,Fatal,VIC,"sealer's cove, wilson's promontory",-38.98333333,146.45,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour",,,,provoked,,1,swimming,,Y,,"catch, dead animal nearby (whale), swimming",,bit legs,,,leg,major lacerations,Male,,,,,,,,,,,,,0,,3,,,,50,,,,,,,media outlet,colonial times 20.8.1839,
